sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length 	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim3	0,1,0,0,0	7.61894,7.61894,7.61894,7.61894,7.61894	1000000,1000000,1000000,1000000,1000000	0.000000134931,0.000000134931,0.000000134931,0.000000134931,0.000000134931	.01554	.00217,.00217,.00217,.00217,.00217	499	.00073	100.00000999	499	19.43358861	0,0.00013,1e-05,2e-05,0:1e-05,0,1e-05,1e-05,0:1e-05,0.00012,0,1e-05,0:1e-05,0.00011,1e-05,0,0:1e-05,0.00012,2e-05,2e-05,0	0.001806,0.022122,0.003186,0.002974,0.000509	45.67652634,0,29.09989317,35.25504944,55.6491206	0.666222	100	100	26496	177
sim4	0,0,0,1,0	4.74572,4.74572,4.74572,4.74572,4.74572	1000000,1000000,1000000,1000000,1000000	0.000000144032,0.000000144032,0.000000144032,0.000000144032,0.000000144032	.02837	.00198,.00198,.00198,.00198,.00198	499	.00154	100.00000998	499	16.48422353	0,1e-05,6e-05,2e-04,3e-05:2e-05,0,5e-05,0.00019,4e-05:2e-05,1e-05,0,2e-04,3e-05:3e-05,1e-05,5e-05,0,4e-05:1e-05,1e-05,5e-05,0.00019,0	0.001888,0.001082,0.004383,0.017246,0.003078	50.15345211,46.07731664,36.72773964,0,54.25739959	0.768875	100	100	21791	199
sim13	0,1,0,0,0	4.19198,4.19198,4.19198,4.19198,4.19198	1000000,1000000,1000000,1000000,1000000	0.000000105344,0.000000105344,0.000000105344,0.000000105344,0.000000105344	.02220	.00293,.00293,.00293,.00293,.00293	499	.00325	100.00000997	145	17.05858472	0,4e-05,2e-05,1e-05,1e-05:8e-05,0,1e-05,2e-05,1e-05:6e-05,3e-05,0,2e-05,1e-05:7e-05,2e-05,2e-05,0,1e-05:7e-05,2e-05,2e-05,2e-05,0	0.00199,0.000924,0.000437,0.000759,0.000439	19.9646109,0,50.66645124,36.65768967,32.10105356	1	100	100	3480	31
sim14	0,0,0,0,1	5.17784,5.17784,5.17784,5.17784,5.17784	1000000,1000000,1000000,1000000,1000000	0.000000079790,0.000000079790,0.000000079790,0.000000079790,0.000000079790	.01162	.00379,.00379,.00379,.00379,.00379	499	.00135	100.00000835	53	17.46927343	0,0,0,0,1e-05:0,0,0,0,2e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,0	6e-06,0.000165,1.8e-05,4.3e-05,0.00078	75.34990871,40.37499295,21.91072937,63.0131623,0	1	100	100	820	10
sim18	0,0,0,0,1	4.46096,4.46096,4.46096,4.46096,4.46096	1000000,1000000,1000000,1000000,1000000	0.000000104564,0.000000104564,0.000000104564,0.000000104564,0.000000104564	.02094	.00250,.00250,.00250,.00250,.00250	499	.00323	100.00000957	173	15.80105725	0,2e-05,4e-05,3e-05,7e-05:1e-05,0,3e-05,3e-05,5e-05:2e-05,1e-05,0,4e-05,5e-05:2e-05,2e-05,3e-05,0,6e-05:1e-05,3e-05,4e-05,3e-05,0	0.000445,0.000737,0.00109,0.001058,0.001837	19.400634,37.63698899,8.40705293,31.27219039,0	1	100	100	4015	43
sim19	0,0,0,0,1	5.06360,5.06360,5.06360,5.06360,5.06360	1000000,1000000,1000000,1000000,1000000	0.000000109525,0.000000109525,0.000000109525,0.000000109525,0.000000109525	.01914	.00249,.00249,.00249,.00249,.00249	499	.00205	100.00000982	224	14.97847333	0,1e-05,2e-05,0,1e-04:2e-05,0,2e-05,1e-05,8e-05:2e-05,1e-05,0,1e-05,1e-04:1e-05,1e-05,2e-05,0,8e-05:2e-05,2e-05,1e-05,1e-05,0	0.00087,0.000781,0.000696,0.000471,0.004575	45.54088473,29.13522946,39.1599755,34.60011829,0	1	100	100	5961	69
sim26	0,1,0,0,0	2.64818,2.64818,2.64818,2.64818,2.64818	1000000,1000000,1000000,1000000,1000000	0.000000076532,0.000000076532,0.000000076532,0.000000076532,0.000000076532	.02508	.00382,.00382,.00382,.00382,.00382	499	.00155	100.00000806	42	19.59396233	0,1e-05,0,0,0:0,0,0,0,0:0,2e-05,0,0,0:0,1e-05,0,0,0:0,1e-05,0,0,0	8e-06,0.000512,0.000192,3.5e-05,7.1e-05	76.23382522,0,18.19647638,43.73129617,51.76029759	1	100	100	520	7
sim28	0,0,1,0,0	6.66656,6.66656,6.66656,6.66656,6.66656	1000000,1000000,1000000,1000000,1000000	0.000000127531,0.000000127531,0.000000127531,0.000000127531,0.000000127531	.01862	.00051,.00051,.00051,.00051,.00051	499	.00335	100.00000996	436	18.71929063	0,0.00011,0.00027,0.00012,0.00012:3e-04,0,0.00029,0.00012,0.00011:3e-04,0.00011,0,0.00015,1e-04:0.00028,0.00012,0.00028,0,0.00012:3e-04,0.00013,0.00029,0.00014,0	0.010904,0.004555,0.010723,0.005207,0.004518	3.15361306,32.02135262,0,34.43882982,42.11050572	1	100	100	30424	307
sim30	1,0,0,0,0	3.91184,3.91184,3.91184,3.91184,3.91184	1000000,1000000,1000000,1000000,1000000	0.000000075811,0.000000075811,0.000000075811,0.000000075811,0.000000075811	.01499	.00439,.00439,.00439,.00439,.00439	499	.00292	100.00000909	44	15.56108675	0,0,0,0,0:1e-05,0,0,1e-05,0:1e-05,0,0,0,0:1e-05,0,0,0,0:2e-05,0,0,0,0	0.000367,6.3e-05,5.6e-05,0.000129,6.5e-05	0,42.83471185,47.6388114,26.10356232,33.12293029	1	100	100	492	2
sim33	1,0,0,0,0	3.44306,3.44306,3.44306,3.44306,3.44306	1000000,1000000,1000000,1000000,1000000	0.000000128563,0.000000128563,0.000000128563,0.000000128563,0.000000128563	.03604	.00130,.00130,.00130,.00130,.00130	499	.00262	100.00000975	139	18.91261363	0,1e-05,1e-05,1e-05,2e-05:1e-04,0,2e-05,2e-05,1e-05:9e-05,1e-05,0,1e-05,1e-05:9e-05,2e-05,1e-05,0,2e-05:1e-04,1e-05,1e-05,2e-05,0	0.004543,0.000739,0.000604,0.000556,0.000942	0,35.79146642,22.26083892,27.53654413,33.76319108	1	100	100	5234	59
sim36	0,1,0,0,0	3.33650,3.33650,3.33650,3.33650,3.33650	1000000,1000000,1000000,1000000,1000000	0.000000136629,0.000000136629,0.000000136629,0.000000136629,0.000000136629	.03950	.00145,.00145,.00145,.00145,.00145	499	.00031	100.00000986	318	15.81511290	0,4e-05,0,0,0:0,0,0,0,0:0,5e-05,0,0,0:0,3e-05,0,0,0:0,4e-05,0,0,0	0.00033,0.017104,0.000121,0.000446,0.000317	62.03812064,0,53.8127495,58.47668387,59.09043209	1	100	100	12874	129
sim37	0,0,0,1,0	2.76536,2.76536,2.76536,2.76536,2.76536	1000000,1000000,1000000,1000000,1000000	0.000000126874,0.000000126874,0.000000126874,0.000000126874,0.000000126874	.04378	.00210,.00210,.00210,.00210,.00210	499	.00256	100.00000960	24	16.39993645	0,0,0,2e-05,0:0,0,0,2e-05,0:0,0,0,2e-05,0:0,0,0,0,0:0,0,0,1e-05,0	7.1e-05,0.000101,0.000125,0.000832,0.000125	45.88731289,65.63212671,54.87332056,0,44.95873844	1	100	100	814	7
sim40	0,0,0,0,1	2.48906,2.48906,2.48906,2.48906,2.48906	1000000,1000000,1000000,1000000,1000000	0.000000116338,0.000000116338,0.000000116338,0.000000116338,0.000000116338	.04216	.00458,.00458,.00458,.00458,.00458	499	.00172	100.00000911	153	13.92355974	0,0,0,1e-05,3e-05:0,0,0,0,3e-05:0,0,0,1e-05,2e-05:0,0,0,0,2e-05:0,1e-05,0,1e-05,0	7.3e-05,0.000189,4.4e-05,0.000514,0.001892	43.18649449,43.21421035,58.87546955,38.30727437,0	1	100	100	1642	20
sim49	0,1,0,0,0	7.25162,7.25162,7.25162,7.25162,7.25162	1000000,1000000,1000000,1000000,1000000	0.000000088179,0.000000088179,0.000000088179,0.000000088179,0.000000088179	.01046	.00170,.00170,.00170,.00170,.00170	499	.00063	100.00000948	27	16.20280798	0,0,0,0,0:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0:0,1e-05,0,0,0	2e-06,0.000659,2e-06,3e-06,1.9e-05	96.58493173,0,87.12416238,90.23932323,49.11366384	1	100	100	587	5
sim52	0,0,1,0,0	3.70328,3.70328,3.70328,3.70328,3.70328	1000000,1000000,1000000,1000000,1000000	0.000000132244,0.000000132244,0.000000132244,0.000000132244,0.000000132244	.03178	.00393,.00393,.00393,.00393,.00393	499	.00305	100.00000996	380	12.50244916	0,1e-04,4e-05,3e-05,1e-05:3e-05,0,4e-05,3e-05,1e-05:2e-05,0.00013,0,4e-05,1e-05:2e-05,0.00014,3e-05,0,2e-05:2e-05,0.00011,3e-05,4e-05,0	0.000966,0.005357,0.00161,0.00146,0.000709	55.41652987,10.80003756,0,49.40161247,48.20582879	1	100	100	7383	77
sim62	1,0,0,0,0	4.20482,4.20482,4.20482,4.20482,4.20482	1000000,1000000,1000000,1000000,1000000	0.000000110544,0.000000110544,0.000000110544,0.000000110544,0.000000110544	.02222	.00407,.00407,.00407,.00407,.00407	499	.00189	100.00000976	141	12.47464269	0,2e-05,0,0,0:4e-05,0,0,0,0:3e-05,2e-05,0,0,0:3e-05,2e-05,0,0,0:4e-05,2e-05,0,0,0	0.001938,0.000924,0.000189,0.000139,0.00016	0,24.64115458,57.59064973,65.33795748,63.76040223	1	100	100	2540	22
sim63	0,1,0,0,0	3.85874,3.85874,3.85874,3.85874,3.85874	1000000,1000000,1000000,1000000,1000000	0.000000079528,0.000000079528,0.000000079528,0.000000079528,0.000000079528	.01570	.00491,.00491,.00491,.00491,.00491	499	.00055	100.00000903	59	20.22589233	0,1e-05,0,0,0:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0	3.1e-05,0.000765,2e-06,5.6e-05,1.1e-05	4.67225859,0,45.73315809,58.98541414,53.73580488	1	100	100	651	5
sim66	1,0,0,0,0	3.15686,3.15686,3.15686,3.15686,3.15686	1000000,1000000,1000000,1000000,1000000	0.000000091264,0.000000091264,0.000000091264,0.000000091264,0.000000091264	.02531	.00360,.00360,.00360,.00360,.00360	499	.00172	100.00000977	125	17.70291648	0,1e-05,0,0,0:3e-05,0,0,1e-05,0:3e-05,0,0,0,0:3e-05,0,0,0,0:4e-05,0,0,1e-05,0	0.001847,0.000208,0.000126,0.000279,0.000111	0,22.52511109,60.47926947,44.96870932,46.55024077	1	100	100	1771	18
sim71	0,0,0,0,1	2.60132,2.60132,2.60132,2.60132,2.60132	1000000,1000000,1000000,1000000,1000000	0.000000099500,0.000000099500,0.000000099500,0.000000099500,0.000000099500	.03659	.00166,.00166,.00166,.00166,.00166	499	.00038	100.00000961	99	20.49343960	0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,0	2.5e-05,5.7e-05,3e-06,0.000421,0.003628	50.9988528,65.69442092,80.41826641,29.49892705,0	1	100	100	2528	24
sim72	1,0,0,0,0	4.36082,4.36082,4.36082,4.36082,4.36082	1000000,1000000,1000000,1000000,1000000	0.000000131217,0.000000131217,0.000000131217,0.000000131217,0.000000131217	.02922	.00087,.00087,.00087,.00087,.00087	499	.00439	100.00000992	172	17.60542349	0,7e-05,5e-05,7e-05,5e-05:0.00017,0,6e-05,5e-05,4e-05:0.00017,7e-05,0,6e-05,6e-05:0.00016,7e-05,6e-05,0,5e-05:0.00017,6e-05,6e-05,5e-05,0	0.005308,0.002119,0.001617,0.001688,0.001197	0,43.77469211,45.93427458,44.13599859,38.89136126	1	100	100	9192	99
sim86	0,0,0,0,1	5.23112,5.23112,5.23112,5.23112,5.23112	1000000,1000000,1000000,1000000,1000000	0.000000073287,0.000000073287,0.000000073287,0.000000073287,0.000000073287	.01118	.00283,.00283,.00283,.00283,.00283	499	.00296	100.00000855	46	28.31606780	0,1e-05,0,2e-05,2e-05:1e-05,0,0,1e-05,2e-05:1e-05,0,0,1e-05,1e-05:1e-05,0,0,0,3e-05:1e-05,0,0,1e-05,0	0.000145,8.4e-05,7.9e-05,0.000339,0.000432	2.38486664,45.48139324,44.01673388,9.48195203,0	1	100	100	868	10
sim88	0,1,0,0,0	4.59116,4.59116,4.59116,4.59116,4.59116	1000000,1000000,1000000,1000000,1000000	0.000000096368,0.000000096368,0.000000096368,0.000000096368,0.000000096368	.01780	.00319,.00319,.00319,.00319,.00319	499	.00383	100.00000975	49	25.28431432	0,1e-05,1e-05,0,1e-05:1e-05,0,1e-05,0,0:2e-05,1e-05,0,0,0:1e-05,0,1e-05,0,1e-05:2e-05,1e-05,1e-05,0,0	0.000421,0.000152,0.00034,3.9e-05,9.9e-05	35.87276914,0,47.77044566,68.99228918,37.85914408	1	100	100	839	12
sim92	0,0,0,0,1	2.98952,2.98952,2.98952,2.98952,2.98952	1000000,1000000,1000000,1000000,1000000	0.000000087293,0.000000087293,0.000000087293,0.000000087293,0.000000087293	.02681	.00239,.00239,.00239,.00239,.00239	499	.00052	100.00000802	40	19.65942914	0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0	1.2e-05,5.5e-05,1.8e-05,8e-06,0.001009	72.78976725,20.33782915,88.06443805,71.37280786,0	1	100	100	758	6
sim96	1,0,0,0,0	5.54462,5.54462,5.54462,5.54462,5.54462	1000000,1000000,1000000,1000000,1000000	0.000000132738,0.000000132738,0.000000132738,0.000000132738,0.000000132738	.02280	.00114,.00114,.00114,.00114,.00114	499	.00489	100.00000996	499	16.34172874	0,0.00022,0.00022,0.00036,0.00028:0.00036,0,0.00022,0.00033,0.00027:0.00038,0.00021,0,0.00033,0.00032:0.00043,0.00026,0.00022,0,0.00028:0.00038,0.00022,2e-04,0.00035,0	0.010756,0.006535,0.005932,0.009063,0.007696	0,14.31409011,37.34409397,3.77033539,24.00848257	0.725291	100	100	32737	230
sim101	0,1,0,0,0	5.67848,5.67848,5.67848,5.67848,5.67848	1000000,1000000,1000000,1000000,1000000	0.000000118680,0.000000118680,0.000000118680,0.000000118680,0.000000118680	.01767	.00323,.00323,.00323,.00323,.00323	499	.00276	100.00000946	223	16.40978926	0,0.00011,2e-05,2e-05,2e-05:1e-05,0,1e-05,2e-05,2e-05:1e-05,0.00011,0,2e-05,1e-05:1e-05,1e-04,1e-05,0,2e-05:1e-05,1e-04,1e-05,2e-05,0	0.000439,0.004434,0.00043,0.000802,0.000938	16.31356601,0,48.88367203,51.09688848,50.6084133	1	100	100	5826	47
sim108	0,0,0,1,0	6.81176,6.81176,6.81176,6.81176,6.81176	1000000,1000000,1000000,1000000,1000000	0.000000150063,0.000000150063,0.000000150063,0.000000150063,0.000000150063	.02081	.00122,.00122,.00122,.00122,.00122	499	.00073	100.00000999	499	17.23832616	0,2e-04,0,4e-05,0:0,0,0,5e-05,0:0,0.00019,0,5e-05,0:1e-05,0.00019,1e-05,0,0:1e-05,0.00016,0,6e-05,0	0.000742,0.037394,0.000882,0.011056,0.001493	59.04951602,23.05689247,56.72435701,0,57.7076299	0.567045	100	100	43914	242
sim114	0,0,0,1,0	3.47804,3.47804,3.47804,3.47804,3.47804	1000000,1000000,1000000,1000000,1000000	0.000000085107,0.000000085107,0.000000085107,0.000000085107,0.000000085107	.02008	.00439,.00439,.00439,.00439,.00439	499	.00059	100.00000982	79	17.35784785	0,0,0,1e-05,0:0,0,0,1e-05,0:0,0,0,0,0:0,0,0,0,0:0,0,0,1e-05,0	1.8e-05,2.7e-05,8e-06,0.00119,1e-05	73.63414969,77.1419599,80.34723221,0,79.6497815	1	100	100	893	14
sim115	0,1,0,0,0	4.01456,4.01456,4.01456,4.01456,4.01456	1000000,1000000,1000000,1000000,1000000	0.000000059254,0.000000059254,0.000000059254,0.000000059254,0.000000059254	.01164	.00312,.00312,.00312,.00312,.00312	499	.00161	100.00000841	22	13.50132201	0,1e-05,0,0,0:0,0,0,0,0:0,0,0,0,0:0,1e-05,0,0,0:0,0,0,0,0	4.4e-05,0.00026,0,5.6e-05,1e-06	15.79692117,0,91.97240669,33.23115282,90.89293049	1	100	100	283	2
sim117	0,0,0,0,1	2.73386,2.73386,2.73386,2.73386,2.73386	1000000,1000000,1000000,1000000,1000000	0.000000136966,0.000000136966,0.000000136966,0.000000136966,0.000000136966	.04865	.00145,.00145,.00145,.00145,.00145	499	.00352	100.00000995	382	17.46833769	0,6e-05,0.00017,8e-05,0.00012:8e-05,0,2e-04,6e-05,0.00013:0.00011,6e-05,0,8e-05,0.00011:9e-05,7e-05,0.00016,0,0.00013:0.00011,5e-05,0.00018,8e-05,0	0.004046,0.002234,0.007254,0.003099,0.004634	40.32948281,35.37494807,24.70784951,39.60585631,0	1	100	100	13503	139
sim118	1,0,0,0,0	5.40824,5.40824,5.40824,5.40824,5.40824	1000000,1000000,1000000,1000000,1000000	0.000000120495,0.000000120495,0.000000120495,0.000000120495,0.000000120495	.02094	.00134,.00134,.00134,.00134,.00134	499	.00371	100.00000994	499	18.83981010	0,0.00022,0.00019,5e-04,0.00021:0.00049,0,0.00017,0.00049,0.00022:0.00048,2e-04,0,0.00052,2e-04:0.00048,0.00021,0.00018,0,0.00019:0.00049,0.00021,2e-04,0.00052,0	0.015719,0.006932,0.00571,0.016355,0.006325	0,33.57732875,31.68916151,6.51112479,30.67645709	0.493083	100	100	41373	221
sim122	0,1,0,0,0	4.87832,4.87832,4.87832,4.87832,4.87832	1000000,1000000,1000000,1000000,1000000	0.000000096834,0.000000096834,0.000000096834,0.000000096834,0.000000096834	.01603	.00382,.00382,.00382,.00382,.00382	499	.00310	100.00000970	272	15.43344196	0,0.00011,1e-05,3e-05,2e-05:2e-05,0,2e-05,2e-05,2e-05:2e-05,1e-04,0,3e-05,3e-05:2e-05,1e-04,1e-05,0,2e-05:1e-05,1e-04,2e-05,3e-05,0	0.000557,0.002749,0.000458,0.001084,0.000833	38.09651469,0,51.90354602,34.69217974,27.42313271	1	100	100	4479	39
sim132	0,0,0,0,1	3.55730,3.55730,3.55730,3.55730,3.55730	1000000,1000000,1000000,1000000,1000000	0.000000161786,0.000000161786,0.000000161786,0.000000161786,0.000000161786	.04161	.00387,.00387,.00387,.00387,.00387	499	.00397	100.00000971	312	11.17300324	0,5e-05,5e-05,2e-05,8e-05:3e-05,0,6e-05,4e-05,1e-04:2e-05,5e-05,0,2e-05,9e-05:2e-05,5e-05,6e-05,0,9e-05:2e-05,4e-05,6e-05,2e-05,0	0.000895,0.001816,0.00216,0.000981,0.003526	59.32005451,42.25609156,36.62129843,59.71819024,0	1	100	100	6688	83
sim137	1,0,0,0,0	3.01826,3.01826,3.01826,3.01826,3.01826	1000000,1000000,1000000,1000000,1000000	0.000000142461,0.000000142461,0.000000142461,0.000000142461,0.000000142461	.04417	.00303,.00303,.00303,.00303,.00303	499	.00274	100.00000989	499	16.22642030	0,5e-05,0.00014,7e-05,6e-05:0.00014,0,0.00015,8e-05,5e-05:0.00016,6e-05,0,8e-05,7e-05:0.00014,6e-05,0.00013,0,7e-05:0.00015,5e-05,0.00015,1e-04,0	0.007806,0.00266,0.007166,0.005129,0.003681	0,20.04136855,9.91422706,34.00304299,24.20779063	0.626884	100	100	17568	129
sim139	0,0,0,0,1	2.96060,2.96060,2.96060,2.96060,2.96060	1000000,1000000,1000000,1000000,1000000	0.000000145987,0.000000145987,0.000000145987,0.000000145987,0.000000145987	.04764	.00167,.00167,.00167,.00167,.00167	499	.00194	100.00000954	212	17.03922792	0,1e-05,1e-05,2e-05,1e-04:2e-05,0,1e-05,3e-05,8e-05:2e-05,1e-05,0,3e-05,7e-05:2e-05,2e-05,1e-05,0,6e-05:2e-05,1e-05,1e-05,2e-05,0	0.001881,0.001023,0.000801,0.002072,0.00578	47.01468609,44.78458253,38.3296409,32.52972172,0	1	100	100	7599	74
sim141	0,0,1,0,0	6.63452,6.63452,6.63452,6.63452,6.63452	1000000,1000000,1000000,1000000,1000000	0.000000097262,0.000000097262,0.000000097262,0.000000097262,0.000000097262	.01361	.00105,.00105,.00105,.00105,.00105	499	.00294	100.00000959	97	20.99004152	0,2e-05,7e-05,1e-05,2e-05:2e-05,0,6e-05,2e-05,1e-05:1e-05,1e-05,0,2e-05,1e-05:2e-05,2e-05,6e-05,0,2e-05:2e-05,2e-05,7e-05,2e-05,0	0.000464,0.000528,0.002388,0.000609,0.000602	27.86069479,18.4565272,0,28.54771178,32.54199981	1	100	100	3922	41
sim143	0,0,1,0,0	5.44430,5.44430,5.44430,5.44430,5.44430	1000000,1000000,1000000,1000000,1000000	0.000000126525,0.000000126525,0.000000126525,0.000000126525,0.000000126525	.02287	.00037,.00037,.00037,.00037,.00037	499	.00160	100.00000999	499	18.79490583	0,1e-04,0.00024,6e-05,8e-05:9e-05,0,0.00024,5e-05,8e-05:7e-05,9e-05,0,5e-05,8e-05:8e-05,6e-05,0.00026,0,8e-05:8e-05,0.00012,0.00024,4e-05,0	0.006013,0.0074,0.019692,0.003657,0.0062	17.81344946,20.60961634,0,15.26381856,31.39329772	0.982283	100	100	34927	359
sim146	1,0,0,0,0	2.96240,2.96240,2.96240,2.96240,2.96240	1000000,1000000,1000000,1000000,1000000	0.000000126879,0.000000126879,0.000000126879,0.000000126879,0.000000126879	.04112	.00171,.00171,.00171,.00171,.00171	499	.00457	100.00000976	32	16.02527410	0,0,1e-05,1e-05,0:3e-05,0,0,0,0:4e-05,0,0,1e-05,0:4e-05,0,1e-05,0,0:4e-05,0,0,1e-05,0	0.000973,6.8e-05,0.000234,0.000107,0.000119	0,59.54981802,37.32694309,6.2949578,31.20189698	1	100	100	980	12
sim153	0,0,0,1,0	5.12900,5.12900,5.12900,5.12900,5.12900	1000000,1000000,1000000,1000000,1000000	0.000000092681,0.000000092681,0.000000092681,0.000000092681,0.000000092681	.01401	.00406,.00406,.00406,.00406,.00406	499	.00465	100.00000942	69	17.18117658	0,3e-05,1e-05,0,1e-05:1e-05,0,0,1e-05,1e-05:1e-05,2e-05,0,0,1e-05:1e-05,2e-05,0,0,1e-05:1e-05,4e-05,0,1e-05,0	0.000206,0.000699,0.000105,8.2e-05,0.000151	50.65833059,21.19647682,41.17050834,0,1.72381723	1	100	100	1010	13
sim158	0,1,0,0,0	3.31070,3.31070,3.31070,3.31070,3.31070	1000000,1000000,1000000,1000000,1000000	0.000000122893,0.000000122893,0.000000122893,0.000000122893,0.000000122893	.03439	.00273,.00273,.00273,.00273,.00273	499	.00125	100.00000996	88	13.61100318	0,0,2e-05,0,1e-05:0,0,2e-05,0,0:0,0,0,0,0:0,0,2e-05,0,1e-05:0,0,2e-05,0,0	8.2e-05,0.000213,0.001861,0.000147,0.000366	62.91232499,0,17.51112062,66.13214701,46.31139515	1	100	100	1864	20
sim159	0,1,0,0,0	2.53688,2.53688,2.53688,2.53688,2.53688	1000000,1000000,1000000,1000000,1000000	0.000000114869,0.000000114869,0.000000114869,0.000000114869,0.000000114869	.04051	.00477,.00477,.00477,.00477,.00477	499	.00312	100.00000968	230	15.71635720	0,7e-05,2e-05,4e-05,2e-05:2e-05,0,2e-05,3e-05,2e-05:2e-05,5e-05,0,2e-05,1e-05:2e-05,6e-05,2e-05,0,1e-05:1e-05,5e-05,2e-05,3e-05,0	0.000632,0.001947,0.000667,0.001168,0.000594	11.43835739,0,36.33269783,26.34654524,40.63218951	1	100	100	3138	18
sim162	0,1,0,0,0	2.94224,2.94224,2.94224,2.94224,2.94224	1000000,1000000,1000000,1000000,1000000	0.000000086943,0.000000086943,0.000000086943,0.000000086943,0.000000086943	.02711	.00244,.00244,.00244,.00244,.00244	499	.00352	100.00000857	49	18.93883708	0,2e-05,0,1e-05,0:1e-05,0,1e-05,2e-05,0:1e-05,2e-05,0,2e-05,2e-05:1e-05,2e-05,1e-05,0,0:1e-05,1e-05,1e-05,1e-05,0	0.000133,0.000413,0.000163,0.000387,0.000282	38.54074042,0,30.75159864,27.55333405,19.55511389	1	100	100	864	8
sim174	0,0,0,0,1	6.07604,6.07604,6.07604,6.07604,6.07604	1000000,1000000,1000000,1000000,1000000	0.000000101105,0.000000101105,0.000000101105,0.000000101105,0.000000101105	.01269	.00395,.00395,.00395,.00395,.00395	499	.00253	100.00000961	220	15.42893754	0,2e-05,2e-05,2e-05,2e-05:2e-05,0,3e-05,1e-05,2e-05:2e-05,3e-05,0,1e-05,2e-05:2e-05,2e-05,2e-05,0,2e-05:2e-05,3e-05,2e-05,1e-05,0	0.000695,9e-04,0.00086,5e-04,0.000777	41.09489338,18.10323854,36.47097489,27.54116261,0	1	100	100	3073	44
