sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length 	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim252	1,0,0,0,0	4.73930,4.73930,4.73930,4.73930,4.73930	1000000,1000000,1000000,1000000,1000000	0.000000079572,0.000000079572,0.000000079572,0.000000079572,0.000000079572	.01361	.00318,.00318,.00318,.00318,.00318	499	.00364	100.00000996	201	18.95322680	0,3e-05,3e-05,2e-05,1e-05:9e-05,0,3e-05,2e-05,3e-05:9e-05,3e-05,0,3e-05,2e-05:8e-05,4e-05,3e-05,0,2e-05:9e-05,4e-05,2e-05,2e-05,0	0.001827,0.000637,0.000682,0.000513,0.000505	0,16.20461996,26.28875749,26.96304768,25.42189628	1	100	100	3274	37
sim253	0,0,1,0,0	5.55452,5.55452,5.55452,5.55452,5.55452	1000000,1000000,1000000,1000000,1000000	0.000000105258,0.000000105258,0.000000105258,0.000000105258,0.000000105258	.01738	.00157,.00157,.00157,.00157,.00157	499	.00468	100.00000995	146	18.63041573	0,7e-05,0.00011,4e-05,4e-05:3e-05,0,1e-04,5e-05,5e-05:4e-05,6e-05,0,3e-05,5e-05:4e-05,7e-05,1e-04,0,3e-05:3e-05,6e-05,0.00011,5e-05,0	0.000751,0.001545,0.002346,0.001057,0.000971	5.59618462,35.07789813,0,42.19530229,43.61979959	1	100	100	5459	49
sim256	0,0,1,0,0	2.40338,2.40338,2.40338,2.40338,2.40338	1000000,1000000,1000000,1000000,1000000	0.000000112718,0.000000112718,0.000000112718,0.000000112718,0.000000112718	.04322	.00368,.00368,.00368,.00368,.00368	499	.00042	100.00000652	52	50.02361815	0,0,1e-05,0,0:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0:0,0,0,0,0	2e-06,4e-06,0.000892,3e-06,1e-06	80.62385172,57.68266624,0,71.41610161,70.82132282	1	100	100	504	3
sim260	1,0,0,0,0	4.12808,4.12808,4.12808,4.12808,4.12808	1000000,1000000,1000000,1000000,1000000	0.000000102169,0.000000102169,0.000000102169,0.000000102169,0.000000102169	.02098	.00377,.00377,.00377,.00377,.00377	499	.00342	100.00000984	304	15.56207079	0,2e-05,1e-05,4e-05,2e-05:0.00013,0,1e-05,3e-05,3e-05:0.00011,2e-05,0,3e-05,2e-05:0.00012,2e-05,1e-05,0,3e-05:0.00014,3e-05,2e-05,3e-05,0	0.003614,0.000637,0.000553,0.001015,0.000867	0,30.95154953,40.14876162,29.7174332,12.73941466	1	100	100	5118	50
sim261	0,0,0,0,1	2.46086,2.46086,2.46086,2.46086,2.46086	1000000,1000000,1000000,1000000,1000000	0.000000123904,0.000000123904,0.000000123904,0.000000123904,0.000000123904	.04913	.00122,.00122,.00122,.00122,.00122	499	.00186	100.00000969	63	20.38985879	0,1e-05,1e-05,0,4e-05:0,0,1e-05,1e-05,5e-05:0,1e-05,0,1e-05,4e-05:0,1e-05,0,0,4e-05:0,1e-05,1e-05,0,0	0.000205,0.000634,0.000341,0.000279,0.003273	51.24057078,36.01336859,28.16506707,38.5333324,0	1	100	100	2849	22
sim268	0,1,0,0,0	2.44568,2.44568,2.44568,2.44568,2.44568	1000000,1000000,1000000,1000000,1000000	0.000000124509,0.000000124509,0.000000124509,0.000000124509,0.000000124509	.04940	.00151,.00151,.00151,.00151,.00151	499	.00287	100.00000846	75	19.10569144	0,4e-05,1e-05,1e-05,3e-05:1e-05,0,0,1e-05,3e-05:1e-05,4e-05,0,1e-05,2e-05:2e-05,5e-05,0,0,2e-05:2e-05,4e-05,0,1e-05,0	0.000695,0.001786,0.000116,0.000357,0.001135	17.55189213,0,29.69093995,43.9110767,29.37650383	1	100	100	2403	25
sim282	0,0,0,1,0	5.93486,5.93486,5.93486,5.93486,5.93486	1000000,1000000,1000000,1000000,1000000	0.000000109498,0.000000109498,0.000000109498,0.000000109498,0.000000109498	.01472	.00373,.00373,.00373,.00373,.00373	499	.00040	100.00000970	391	14.80596623	0,0,0,1e-05,1e-05:1e-05,0,0,1e-05,1e-05:1e-05,0,0,2e-05,1e-05:1e-05,0,0,0,0:1e-05,0,0,2e-05,0	0.002654,0.000383,0.000304,0.004087,0.001603	27.56552641,47.43387393,49.21978118,0,19.71127212	1	100	100	7494	57
sim285	1,0,0,0,0	5.92640,5.92640,5.92640,5.92640,5.92640	1000000,1000000,1000000,1000000,1000000	0.000000109697,0.000000109697,0.000000109697,0.000000109697,0.000000109697	.01626	.00225,.00225,.00225,.00225,.00225	499	.00303	100.00000994	292	19.70974365	0,4e-05,3e-05,6e-05,3e-05:0.00012,0,4e-05,4e-05,2e-05:0.00014,5e-05,0,6e-05,2e-05:0.00012,4e-05,4e-05,0,2e-05:0.00014,4e-05,3e-05,5e-05,0	0.004488,0.00135,0.001271,0.001746,0.001112	0,26.92845584,28.89865389,19.3271765,38.08916584	1	100	100	8272	69
sim291	0,0,0,1,0	4.59650,4.59650,4.59650,4.59650,4.59650	1000000,1000000,1000000,1000000,1000000	0.000000085586,0.000000085586,0.000000085586,0.000000085586,0.000000085586	.01714	.00148,.00148,.00148,.00148,.00148	499	.00156	100.00000944	50	19.07832341	0,0,0,2e-05,0:0,0,0,3e-05,0:0,0,0,2e-05,0:0,0,0,0,0:0,0,0,3e-05,0	9.4e-05,7.6e-05,6.7e-05,0.001329,0.000248	50.53657354,51.65288347,62.11738797,0,36.92907385	1	100	100	1427	10
sim296	0,1,0,0,0	5.14052,5.14052,5.14052,5.14052,5.14052	1000000,1000000,1000000,1000000,1000000	0.000000075822,0.000000075822,0.000000075822,0.000000075822,0.000000075822	.01301	.00174,.00174,.00174,.00174,.00174	499	.00192	100.00000800	36	21.22057743	0,1e-05,0,0,0:0,0,0,0,1e-05:0,1e-05,0,0,1e-05:0,1e-05,0,0,1e-05:0,1e-05,0,0,0	8.9e-05,0.000425,3.4e-05,0.00011,0.000417	50.66386819,0,58.77483851,26.51768491,14.22815211	1	100	100	890	11
sim297	0,1,0,0,0	4.24070,4.24070,4.24070,4.24070,4.24070	1000000,1000000,1000000,1000000,1000000	0.000000168991,0.000000168991,0.000000168991,0.000000168991,0.000000168991	.03864	.00121,.00121,.00121,.00121,.00121	499	.00144	100.00000999	478	16.86990607	0,0.00025,1e-05,2e-05,1e-05:1e-05,0,2e-05,2e-05,1e-05:1e-05,0.00023,0,1e-05,1e-05:1e-05,0.00018,1e-05,0,0:1e-05,0.00022,1e-05,1e-05,0	0.001582,0.025851,0.00163,0.001615,0.001284	55.64005449,0,54.27188417,28.71347022,29.5992203	1	100	100	24301	242
sim303	0,0,0,1,0	6.73064,6.73064,6.73064,6.73064,6.73064	1000000,1000000,1000000,1000000,1000000	0.000000080161,0.000000080161,0.000000080161,0.000000080161,0.000000080161	.01006	.00185,.00185,.00185,.00185,.00185	499	.00486	100.00000879	22	30.69351332	0,1e-05,1e-05,2e-05,2e-05:0,0,1e-05,1e-05,2e-05:1e-05,1e-05,0,2e-05,2e-05:0,1e-05,1e-05,0,2e-05:0,1e-05,1e-05,2e-05,0	0.000118,0.000139,0.000142,0.000201,0.000357	49.37323542,3.3381846,50.10432621,0,22.78172775	1	100	100	828	5
sim309	0,1,0,0,0	3.65894,3.65894,3.65894,3.65894,3.65894	1000000,1000000,1000000,1000000,1000000	0.000000119647,0.000000119647,0.000000119647,0.000000119647,0.000000119647	.03207	.00063,.00063,.00063,.00063,.00063	499	.00038	100.00000992	224	21.93886891	0,3e-05,0,0,0:0,0,0,0,0:0,3e-05,0,0,0:0,4e-05,0,0,0:0,5e-05,0,0,0	0.00027,0.013665,0.000945,0.000182,0.000167	44.64561483,0,49.73354058,56.09631438,59.15868844	1	100	100	11099	129
sim312	1,0,0,0,0	2.58356,2.58356,2.58356,2.58356,2.58356	1000000,1000000,1000000,1000000,1000000	0.000000123054,0.000000123054,0.000000123054,0.000000123054,0.000000123054	.04676	.00087,.00087,.00087,.00087,.00087	499	.00317	100.00000987	103	20.22506622	0,1e-05,2e-05,2e-05,1e-05:0.00012,0,2e-05,2e-05,2e-05:0.00013,1e-05,0,3e-05,1e-05:0.00014,1e-05,2e-05,0,2e-05:0.00012,2e-05,2e-05,2e-05,0	0.005289,0.000734,0.000898,0.000802,0.000622	0,12.70433302,46.88449832,40.57646547,51.44546787	1	100	100	5071	43
sim314	0,0,0,0,1	5.23520,5.23520,5.23520,5.23520,5.23520	1000000,1000000,1000000,1000000,1000000	0.000000131769,0.000000131769,0.000000131769,0.000000131769,0.000000131769	.02350	.00167,.00167,.00167,.00167,.00167	499	.00105	100.00000997	350	13.88467899	0,1e-05,0,3e-05,9e-05:0,0,0,3e-05,9e-05:1e-05,1e-05,0,3e-05,1e-04:0,0,0,0,9e-05:0,0,0,2e-05,0	0.000666,0.000728,0.000466,0.003968,0.011783	56.94568269,47.99345968,45.35620684,30.72726404,0	1	100	100	14318	133
sim317	0,0,0,0,1	3.30206,3.30206,3.30206,3.30206,3.30206	1000000,1000000,1000000,1000000,1000000	0.000000076310,0.000000076310,0.000000076310,0.000000076310,0.000000076310	.01845	.00466,.00466,.00466,.00466,.00466	499	.00160	100.00000678	52	15.10349617	0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,0	3.7e-05,2.8e-05,4.3e-05,5e-06,0.000556	59.64775162,60.55861769,68.79553226,56.98707257,0	1	100	100	480	6
sim318	1,0,0,0,0	2.53706,2.53706,2.53706,2.53706,2.53706	1000000,1000000,1000000,1000000,1000000	0.000000096433,0.000000096433,0.000000096433,0.000000096433,0.000000096433	.03340	.00461,.00461,.00461,.00461,.00461	499	.00355	100.00000922	49	14.66824694	0,0,1e-05,0,1e-05:1e-05,0,0,0,1e-05:0,0,0,1e-05,1e-05:0,0,0,0,1e-05:1e-05,0,0,1e-05,0	0.000156,4.2e-05,6.4e-05,0.000156,0.000406	0,4.74196587,57.97196148,4.8514094,4.84125891	1	100	100	464	2
sim323	0,0,1,0,0	3.49436,3.49436,3.49436,3.49436,3.49436	1000000,1000000,1000000,1000000,1000000	0.000000126740,0.000000126740,0.000000126740,0.000000126740,0.000000126740	.03146	.00481,.00481,.00481,.00481,.00481	499	.00293	100.00000904	338	12.54126918	0,2e-05,9e-05,2e-05,2e-05:1e-05,0,0.00011,1e-05,3e-05:1e-05,1e-05,0,2e-05,2e-05:1e-05,2e-05,7e-05,0,2e-05:1e-05,2e-05,9e-05,1e-05,0	0.000398,0.000714,0.003961,0.000873,0.000811	42.11349405,27.53789606,0,40.3043061,38.54364615	1	100	100	4811	47
sim325	0,0,0,1,0	6.01724,6.01724,6.01724,6.01724,6.01724	1000000,1000000,1000000,1000000,1000000	0.000000090017,0.000000090017,0.000000090017,0.000000090017,0.000000090017	.01188	.00308,.00308,.00308,.00308,.00308	499	.00351	100.00000988	21	13.57500144	0,0,0,1e-05,0:0,0,0,1e-05,0:1e-05,0,0,1e-05,0:0,0,0,0,0:0,0,0,2e-05,0	7.6e-05,5.6e-05,4.2e-05,0.000333,4.6e-05	44.80443868,67.51645841,63.93977581,0,57.15127501	1	100	100	469	7
