sim_number	index_location_0	index_location_1	index_location_2	index_location_3	index_location_4	R_0_0	R_0_1	R_0_2	R_0_3	R_0_4	S_0_0	S_0_1	S_0_2	S_0_3	S_0_4	beta_0	beta_1	beta_2	beta_3	beta_4 	mu	sampling_rate_0	sampling_rate_1	sampling_rate_2	sampling_rate_3	sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0	loc0_imports_per_capita_from_1	loc0_imports_per_capita_from_2	loc0_imports_per_capita_from_3	loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0	loc1_imports_per_capita_from_1	loc1_imports_per_capita_from_2	loc1_imports_per_capita_from_3	loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0	loc2_imports_per_capita_from_1	loc2_imports_per_capita_from_2	loc2_imports_per_capita_from_3	loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0	loc3_imports_per_capita_from_1	loc3_imports_per_capita_from_2	loc3_imports_per_capita_from_3	loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0	loc4_imports_per_capita_from_1	loc4_imports_per_capita_from_2	loc4_imports_per_capita_from_3	loc4_imports_per_capita_from_4	 infections_per_capita_0	infections_per_capita_1	infections_per_capita_2	infections_per_capita_3	infections_per_capita_4	time_of_first_import_0	time_of_first_import_1	time_of_first_import_2	time_of_first_import_3	time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim86	0	0	0	1	0	2.42078	2.42078	2.42078	2.42078	2.42078	1000000	1000000	1000000	1000000	1000000	0.000000083347	0.000000084049	0.000000080030	0.000000080515	0.000000084388	.03140	.00303	.00332	.00166	.00186	.00346	499	.00315	100.00000899	24	21.60501951	0	0	0	1e-05	0:1e-05	0	0	0	0:1e-05	0	0	1e-05	0:1e-05	0	0	0	0:1e-05	0	0	1e-05	0	0.000232	1.4e-05	6.8e-05	0.00021	4.6e-05	15.6496591	53.20768966	25.96508394	0	34.97107366	1	100	100	347	6
sim89	0	0	1	0	0	5.23058	5.23058	5.23058	5.23058	5.23058	1000000	1000000	1000000	1000000	1000000	0.000000113922	0.000000106442	0.000000116746	0.000000104140	0.000000112509	.01737	.00441	.00298	.00495	.00254	.00414	499	.00440	100.00000982	499	18.10836982	0	0.00026	0.00052	0.00018	0.00023:0.00031	0	0.00054	0.00016	0.00022:0.00033	0.00024	0	0.00018	0.00022:0.00032	0.00026	0.00048	0	0.00021:0.00027	0.00024	0.00049	0.00018	0	0.007182	0.005976	0.013334	0.003955	0.005184	11.93147563	5.38621486	0	27.04176237	18.82347175	0.31443	100	100	28792	94
sim97	0	0	0	0	1	2.49986	2.49986	2.49986	2.49986	2.49986	1000000	1000000	1000000	1000000	1000000	0.000000072645	0.000000067921	0.000000062271	0.000000062396	0.000000072845	.02453	.00453	.00264	.00038	.00043	.00461	499	.00486	100.00000650	26	17.22729569	0	0	0	0	2e-05:0	0	1e-05	0	2e-05:0	0	0	0	2e-05:1e-05	0	0	0	1e-05:0	0	0	0	0	2.9e-05	5.4e-05	6.7e-05	1.8e-05	0.000288	23.71719326	27.15615963	55.10213594	62.5046227	0	1	100	100	258	2
sim100	0	0	1	0	0	2.45864	2.45864	2.45864	2.45864	2.45864	1000000	1000000	1000000	1000000	1000000	0.000000082585	0.000000082905	0.000000085314	0.000000084577	0.000000088535	.03164	.00195	.00208	.00306	.00276	.00437	499	.00088	100.00000505	39	19.70693491	0	0	1e-05	0	0:0	0	1e-05	0	0:0	0	0	0	0:0	0	1e-05	0	0:0	0	1e-05	0	0	7e-06	2.5e-05	0.000903	1.4e-05	4.6e-05	64.99524132	61.22609288	0	67.54323813	56.8318061	1	100	100	623	4
sim102	0	1	0	0	0	4.82426	4.82426	4.82426	4.82426	4.82426	1000000	1000000	1000000	1000000	1000000	0.000000158380	0.000000145210	0.000000140868	0.000000157608	0.000000153122	.02834	.00449	.00176	.00086	.00433	.00340	499	.00096	100.00000988	499	14.39571135	0	9e-05	1e-05	0.00013	7e-05:1e-05	0	1e-05	0.00012	5e-05:1e-05	8e-05	0	0.00012	5e-05:1e-05	8e-05	1e-05	0	4e-05:1e-05	9e-05	1e-05	0.00012	0	0.001637	0.013698	0.001461	0.020134	0.007852	38.78342105	0	41.31403344	20.11110702	37.31193812	0.385031	100	100	35382	135
sim105	0	0	0	1	0	6.01706	6.01706	6.01706	6.01706	6.01706	1000000	1000000	1000000	1000000	1000000	0.000000133759	0.000000129186	0.000000126538	0.000000135444	0.000000125816	.01957	.00266	.00190	.00146	.00294	.00134	499	.00456	100.00000986	219	13.76353620	0	3e-05	5e-05	0.00014	2e-05:5e-05	0	3e-05	0.00016	2e-05:6e-05	4e-05	0	0.00015	3e-05:6e-05	3e-05	4e-05	0	3e-05:6e-05	3e-05	5e-05	0.00014	0	0.001873	0.000877	0.001228	0.004556	0.000711	23.17284173	49.37348273	20.45292628	0	47.56692308	1	100	100	7704	69
sim106	0	0	1	0	0	2.64728	2.64728	2.64728	2.64728	2.64728	1000000	1000000	1000000	1000000	1000000	0.000000137658	0.000000138823	0.000000141073	0.000000140173	0.000000131622	.04837	.00363	.00407	.00492	.00458	.00135	499	.00416	100.00000994	418	12.64698207	0	6e-05	1e-04	7e-05	6e-05:6e-05	0	1e-04	9e-05	5e-05:6e-05	5e-05	0	8e-05	5e-05:6e-05	5e-05	0.00013	0	4e-05:6e-05	5e-05	0.00012	8e-05	0	0.00211	0.002049	0.003489	0.002609	0.001362	37.21666206	35.94887685	0	35.88289107	12.67851753	1	100	100	7358	66
sim110	0	0	0	0	1	4.19126	4.19126	4.19126	4.19126	4.19126	1000000	1000000	1000000	1000000	1000000	0.000000106080	0.000000113289	0.000000104949	0.000000114211	0.000000101889	.02308	.00223	.00395	.00196	.00417	.00123	499	.00285	100.00000999	499	16.07261498	0	3e-05	5e-05	7e-05	1e-04:0.00016	0	5e-05	8e-05	0.00013:0.00015	4e-05	0	7e-05	0.00014:0.00017	5e-05	6e-05	0	0.00016:0.00017	4e-05	5e-05	8e-05	0	0.006321	0.001749	0.002166	0.002833	0.004667	18.82558941	31.05793058	30.21557298	36.69526252	0	0.886323	100	100	13503	126
sim112	0	0	0	0	1	2.88512	2.88512	2.88512	2.88512	2.88512	1000000	1000000	1000000	1000000	1000000	0.000000097026	0.000000102104	0.000000106085	0.000000096738	0.000000098555	.03332	.00031	.00207	.00345	.00021	.00084	499	.00019	100.00000998	21	24.67257704	0	0	0	0	0:0	0	0	0	1e-05:0	0	0	0	0:0	0	0	0	0:0	0	0	0	0	0	6e-06	2e-06	5e-06	0.001339	84.5498944	49.74047901	86.81340317	64.3501964	0	1	100	100	901	9
sim115	1	0	0	0	0	4.36886	4.36886	4.36886	4.36886	4.36886	1000000	1000000	1000000	1000000	1000000	0.000000101095	0.000000110619	0.000000109134	0.000000094935	0.000000103673	.02158	.00156	.00374	.00340	.00015	.00215	499	.00284	100.00000984	390	16.46162851	0	3e-05	0.00011	3e-05	4e-05:0.00018	0	1e-04	3e-05	3e-05:0.00019	4e-05	0	2e-05	3e-05:0.00018	3e-05	1e-04	0	3e-05:2e-04	3e-05	8e-05	3e-05	0	0.006951	0.001286	0.003701	0.001052	0.001209	0	26.22537591	11.08858672	35.84956659	21.0494733	1	100	100	10826	90
sim119	0	0	1	0	0	3.71222	3.71222	3.71222	3.71222	3.71222	1000000	1000000	1000000	1000000	1000000	0.000000079998	0.000000089947	0.000000093436	0.000000084824	0.000000082559	.02116	.00039	.00307	.00401	.00169	.00108	499	.00213	100.00000961	108	13.92203765	0	0	3e-05	0	0:0	0	3e-05	0	0:0	0	0	0	0:0	0	3e-05	0	0:0	0	5e-05	0	0	8.9e-05	0.00015	0.001805	7.6e-05	0.000142	12.69620392	54.01948867	0	54.91971972	49.44191992	1	100	100	1660	17
sim120	0	0	1	0	0	3.21308	3.21308	3.21308	3.21308	3.21308	1000000	1000000	1000000	1000000	1000000	0.000000086624	0.000000087202	0.000000080166	0.000000081740	0.000000090159	.02386	.00310	.00328	.00109	.00158	.00420	499	.00480	100.00000943	34	20.76306973	0	1e-05	1e-05	0	1e-05:1e-05	0	0	0	1e-05:1e-05	1e-05	0	0	1e-05:0	0	1e-05	0	2e-05:1e-05	1e-05	1e-05	0	0	0.000162	0.000132	0.000136	7.6e-05	0.000234	32.82178773	9.72057041	0	40.37974707	6.1653611	1	100	100	475	6
sim126	1	0	0	0	0	2.81978	2.81978	2.81978	2.81978	2.81978	1000000	1000000	1000000	1000000	1000000	0.000000118458	0.000000116033	0.000000124634	0.000000125677	0.000000123929	.04060	.00141	.00055	.00360	.00397	.00335	499	.00113	100.00000995	28	16.51233308	0	0	0	0	0:1e-05	0	0	0	0:0	0	0	0	0:1e-05	0	0	0	0:1e-05	0	0	0	0	0.000608	2.5e-05	7e-06	2.5e-05	3.7e-05	0	59.26449868	87.1052326	60.42411897	55.14018015	1	100	100	430	9
sim127	0	0	0	1	0	3.03068	3.03068	3.03068	3.03068	3.03068	1000000	1000000	1000000	1000000	1000000	0.000000087253	0.000000085707	0.000000082252	0.000000085010	0.000000080979	.02660	.00219	.00168	.00054	.00145	.00012	499	.00162	100.00000585	26	20.57815622	0	0	0	1e-05	0:1e-05	0	0	1e-05	0:0	0	0	1e-05	0:1e-05	0	0	0	0:1e-05	0	0	1e-05	0	0.000545	6.1e-05	2.8e-05	0.00036	1.9e-05	21.64550791	50.74669782	46.29473175	0	70.00875259	1	100	100	676	5
sim134	0	0	0	0	1	3.42128	3.42128	3.42128	3.42128	3.42128	1000000	1000000	1000000	1000000	1000000	0.000000169832	0.000000172979	0.000000177598	0.000000180848	0.000000186117	.04943	.00021	.00113	.00248	.00343	.00497	499	.00233	100.00000943	23	13.34891691	0	0	0	0	1e-05:0	0	0	0	1e-05:0	0	0	0	2e-05:0	0	0	0	1e-05:0	0	0	0	0	4.4e-05	1.7e-05	4.7e-05	7e-06	0.000988	69.5941988	60.4096201	77.88449599	77.40851082	0	1	100	100	783	2
sim140	1	0	0	0	0	5.39468	5.39468	5.39468	5.39468	5.39468	1000000	1000000	1000000	1000000	1000000	0.000000096726	0.000000072234	0.000000074716	0.000000072342	0.000000082214	.01295	.00498	.00044	.00090	.00046	.00229	499	.00370	100.00000812	65	15.39236158	0	0	1e-05	0	1e-05:4e-05	0	1e-05	1e-05	1e-05:3e-05	0	0	1e-05	0:4e-05	0	1e-05	0	0:4e-05	1e-05	2e-05	0	0	0.000923	9.5e-05	0.000246	0.000109	0.000118	0	40.88642849	28.8920212	50.63683644	49.8651404	1	100	100	1208	11
