file_name	true_minus_lower	true_minus_upper	true_values
delta_param_extant_morethan20_sim345.log	-18.3717610062893	-17.3930188679245	0.00159
delta_param_extant_morethan20_sim350.log	6.2308584686775	7.09691415313226	0.00431
delta_param_extant_morethan20_sim355.log	-3.57866013071894	-2.72359477124182	0.00306
delta_param_extant_morethan20_sim361.log	-8.52870212765957	-6.18420212765957	0.00094
delta_param_extant_morethan20_sim373.log	5.95450000000001	7.15641666666667	0.0012
delta_param_extant_morethan20_sim375.log	4.41733333333334	5.52747368421053	0.00285
delta_param_extant_morethan20_sim379.log	-6.40268498942918	-5.51424947145877	0.00473
delta_param_extant_morethan20_sim403.log	-25.5232843137255	-23.1814705882353	0.00204
delta_param_extant_morethan20_sim406.log	-9.74060171919771	-8.98266475644699	0.00349
delta_param_extant_morethan20_sim407.log	5.05157667386611	5.65142548596114	0.00463
delta_param_extant_morethan20_sim411.log	-10.060568627451	-8.57175490196079	0.00102
delta_param_extant_morethan20_sim414.log	-12.2282871287129	-11.3294257425743	0.00101
delta_param_extant_morethan20_sim415.log	2.77690949227374	3.46931567328918	0.00453
delta_param_extant_morethan20_sim418.log	2.48139917695474	2.76771604938272	0.00486
delta_param_extant_morethan20_sim419.log	23.7558035714286	26.202619047619	0.00336
delta_param_extant_morethan20_sim422.log	2.58803278688523	3.40868852459015	0.00305
delta_param_extant_morethan20_sim424.log	23.2709273182958	24.3087969924812	0.00399
delta_param_extant_morethan20_sim425.log	-28.2993162393162	-26.897094017094	0.00234
delta_param_extant_morethan20_sim434.log	17.1234170854271	18.7679899497487	0.00199
delta_param_extant_morethan20_sim437.log	-14.0244754098361	-12.7086885245902	0.00061
delta_param_extant_morethan20_sim438.log	-1.46361169102296	-0.898559498956153	0.00479
delta_param_extant_morethan20_sim441.log	4.80715151515152	6.15975757575758	0.00165
delta_param_extant_morethan20_sim444.log	-10.6989736070381	-9.88137829912023	0.00341
delta_param_extant_morethan20_sim452.log	2.51544000000001	4.20018666666668	0.00375
delta_param_extant_morethan20_sim455.log	29.7778191489362	32.096835106383	0.00376
delta_param_extant_morethan20_sim459.log	-25.3849375	-23.8488125	0.0016
delta_param_extant_morethan20_sim461.log	16.2169230769231	19.2835042735043	0.00117
delta_param_extant_morethan20_sim466.log	-0.677387096774189	0.499967741935483	0.0031
delta_param_extant_morethan20_sim470.log	2.23738271604939	3.02664197530865	0.00405
delta_param_extant_morethan20_sim475.log	-20.6524778761062	-18.6905088495575	0.00452
delta_param_extant_morethan20_sim478.log	4.11734643734644	5.16496314496315	0.00407
delta_param_extant_morethan20_sim483.log	3.76832627118644	4.56141949152541	0.00472
delta_param_extant_morethan20_sim487.log	59.2198461538461	63.6104615384615	0.00065
delta_param_extant_morethan20_sim489.log	47.7966666666667	50.5672222222222	9e-04
delta_param_extant_morethan20_sim491.log	13.8176233183856	16.2403587443946	0.00223
delta_param_extant_morethan20_sim497.log	-22.2706666666667	-21.1607727272727	0.00066
